# tatoeba id	bản dịch tiếng Việt
348887	Xin hãy nhìn ngôi nhà mái đỏ kia.
348888	Vừa lĩnh lương tôi sẽ trả tiền lại cho bạn.
348906	Nhật Bản đầy những điều bất ngờ.
348933	Công việc của tôi là chăm sóc em bé đó.
348938	Bạn chỉ cần làm theo chỉ dẫn của anh ấy là được.
349269	Ngọn nến tự tắt.
349282	Cô ấy là một người phụ nữ rất đẹp.
349289	Còn một tuần nữa là nghỉ hè.
349294	Chọn bạn phải thận trọng.
349295	Chọn bạn nhất định phải hết sức cẩn thận.
349515	Chúng tôi ngồi ngay giữa phòng.
349517	Nhật Bản có nhiều cảnh đẹp.
349547	Mỗi năm có hàng triệu người chết vì đói.
349548	Tôi không thể kìm nén cơn giận trong lòng.
349551	Anh ấy là người nhanh trí.
349552	Anh ấy là người đầu óc linh hoạt.
349556	Tôi định miêu tả công viên và núi non của chúng ta.
349560	Họ làm công việc nghiên cứu ung thư.
349666	Giấc mơ của anh ấy cuối cùng đã thành hiện thực.
349707	Lương anh ấy kiếm được gấp đôi tôi.
349708	Lương anh ấy nhận gấp đôi tôi.
349714	Loại mê tín hoang đường này không còn tồn tại nữa.
349721	Sương bắt đầu tan vào khoảng mười giờ.
349724	Cô ấy là người hiền hòa dễ mến.
349729	Anh ta vi phạm quy định nên bị đuổi khỏi câu lạc bộ.
349732	Bạn có cảm nghĩ gì về trận đấu này?
349746	Tôi ăn tối lúc bảy giờ mười lăm.
349747	Đại hội điền kinh bị hủy vì trời mưa.
349754	Những năm gần đây lượng du khách tăng mạnh.
349762	Chúng ta phải biết sự thật của việc này.
349764	Xin kiên nhẫn chờ kết quả kiểm tra.
349770	Người mẹ nào cũng yêu thương con mình.
349871	Chắc tôi không thể gặp lại anh ấy nữa.
349874	Nhiệt độ thấp nhất hôm nay là ba độ.
349938	Tôi có thể trả bằng séc du lịch không?
350057	Tôi chật vật chen ra khỏi tàu điện ngầm.
350504	Sao bạn không chấp nhận mọi việc như nó vốn có?
350518	Họ đang điều tra chuyện này.
350651	Chiếc tất bên phải của bạn đi ngược rồi.
350655	Kế hoạch của bạn nhất định sẽ thành công.
350656	Có người nói hoạt hình trên ti vi tự nó có ý nghĩa giáo dục.
350668	Bạn vẫn chưa hiểu rõ cá tính của tôi.
350679	Cuối cùng bạn đã tìm được việc.
350692	Rốt cuộc anh ta trốn ở đâu?
351047	Cuốn tiểu thuyết này khiến vô số cô gái rơi lệ.
351052	Chắc chắn anh ấy đã khỏi cảm rồi.
351054	Xung đột giữa họ cuối cùng đã lắng xuống.
351235	Một ủy ban được thành lập để điều tra giá cả.
351247	Xin đừng ngắt lời tôi như thế.
351252	Máy giặt là một phát minh tuyệt vời.
351253	Tính cách lạnh lùng khiến bạn bè lần lượt xa lánh anh ta.
351835	Trong phòng này nghiêm cấm hút thuốc.
352038	Bơi ở con sông này rất nguy hiểm.
352049	Anh ấy lỡ chuyến tàu cuối.
352066	Ông có phiền không nếu tôi tắt đèn?
352068	Tối nay chúng ta ra ngoài ăn thế nào?
352620	Sau bốn giờ anh ấy mới rảnh.
352621	Trường các bạn tốt thật, còn thanh toán cả vé máy bay khứ hồi.
353218	Mấy ngày nay ở đây mưa to.
353219	Nói cách khác, anh ta hoàn toàn không muốn làm.
353474	Với mức lương của anh ấy thì không giàu được.
353493	Dự báo thời tiết nói tối nay có mưa.
353519	Theo góc nhìn của tôi, anh ấy đúng.
353576	Ngoài sương mù tôi chẳng thấy gì.
353583	Dự án này tôi hiểu đại khái.
353597	Lời khuyên của tôi bắt nguồn từ kinh nghiệm bản thân.
353610	Cậu tôi mua cho tôi cuốn sách này.
353622	Tôi cảm thấy mình bị ép phải giúp cô ấy.
354117	Tôi muốn một phòng đôi rẻ hơn chút.
354490	Giếng là nơi có thể lấy nước.
354507	Cô ấy hoãn chuyến đi Mexico.
354508	Cô ấy hiếm khi đến những nơi như thế.
354560	Anh ấy thật là người may mắn!
355108	Công việc này nằm ngoài khả năng của tôi.
357167	Anh ấy đang tích tiền để học đại học.
357946	Tôi thích hoa, ví dụ như hoa hồng.
358138	Vũ trụ hình thành như thế nào?
358141	Bạn ra nước ngoài để chơi hay đi công tác?
358177	Tôi thấy tranh của anh ấy hơi kỳ lạ.
358186	Nói tiếng Nhật với tôi rất đơn giản.
358493	Hộ chiếu này có thời hạn năm năm.
358816	Tôi bận ứng phó với kỳ thi cuối kỳ.
358973	Xi măng sẽ đông cứng trong vài giờ.
358976	Như thường lệ, nông dân đang bận gieo hạt.
358991	Bức ảnh khiến tôi nhớ lại nhiều chuyện cũ.
359004	Nó có chút liên quan đến vấn đề này.
359006	Toyota tuyên bố sẽ cắt giảm một nghìn nhân viên trong năm nay.
359010	Chiếc khăn này sờ vào vừa mềm vừa mượt.
360131	Về giáo dưỡng, có thể nói họ chẳng khác gì người man rợ.
360667	Người bất cẩn rất dễ mắc lỗi.
360687	Chúng ta phải đối mặt với nhiều khó khăn.
361681	Họ đặt tên con tàu là "Mayflower".
361699	Ông tôi thường vừa đọc báo vừa gật gù.
361757	Trẻ sơ sinh không biết phân biệt phải trái.
361865	Bạn có đọc cuốn sách dày cộp đó không?
362351	Anh ấy sẽ thừa kế một khoản di sản lớn.
362352	Tôi cá tối nay thời tiết sẽ rất đẹp.
362360	Anh ấy đội mũ đứng đó.
362361	Chúng tôi đã hoãn sự kiện.
363516	Bạn có thể đi bơi hoặc câu cá.
363553	Cô ấy đính hôn với một người giàu.
363565	Tôi chợt không nhớ ra tên cô ấy.
363885	Bảo tàng mở cửa từ thứ Hai đến thứ Sáu.
363978	Lẽ ra chúng ta nên cân nhắc lịch trình.
363988	Thợ săn dùng lưới dây bền chắc bắt được con thú hoang.
363991	Khác với máy tính, phần mềm xử lý văn bản chỉ có một công dụng.
363992	Mây đen dần phủ kín cả bầu trời.
364000	Bạn nhanh chân lên thì đuổi kịp anh ấy.
364007	John thích đổi tem với bạn bè.
364352	Trước khi qua đường hãy nhìn trái phải.
364837	Người Anh rất tôn trọng luật pháp và trật tự.
364838	Từ khi đến đây, tôi luôn sống một cuộc đời đơn điệu tẻ nhạt.
364840	Đừng kể chuyện đó cho người khác.
364843	Bạn có thể dùng từ điển của tôi bất cứ lúc nào.
364845	Giày của bạn không hợp với quần áo.
364848	Cậu bé lạc đường trong rừng.
364917	Tôi thấy chiếc nhẫn kim cương này quá xa xỉ.
364920	Vì vậy, thời tiết chẳng nóng chút nào.
364945	Lời tiên đoán bị kết quả thí nghiệm bác bỏ.
364996	Tôi đương nhiên có tư cách nói thế.
365791	Giá cả liên tục tăng đều.
365792	Con cáo trốn trong thân cây rỗng.
365880	Trên mặt cô ấy luôn có nụ cười rạng rỡ.
365914	Anh ấy trời sinh có trí tuệ hoàn hảo.
365915	Anh ấy đi khắp nơi tìm chỗ trú mưa.
366518	Chú của bạn cắt tóc cho dì của bạn.
366821	Có lẽ họ đang chơi trong công viên.
366822	Cô ấy miễn cưỡng tự nấu được bữa tối.
366829	E rằng cà phê đã hết rồi.
366830	Mẹ vô tình nắm lấy chiếc ghế.
366885	Về việc này, tôi không thể tán thành bạn.
