# tatoeba id	bản dịch tiếng Việt
14	Đó là một con thỏ độc ác.
17	Tôi không biết mình có thời gian hay không.
27	Tôi sẽ cố gắng không làm phiền bạn ôn bài.
37	Tôi chưa bao giờ thích môn sinh học.
39	Phần lớn mọi người nghĩ tôi điên rồi.
47	Nếu tôi có thể được như thế...
61	Đừng coi tôi là người "bình thường" nữa!
62	Tất cả những gì được phát minh ra đều là thật.
64	Vũ trụ chắc chắn là vô hạn.
66	Tuy nhiên, điều ngược lại thường cũng đúng.
70	Chưa bao giờ có tình yêu nào là vô ích.
72	Không ham muốn cũng bằng như đã có.
7166	Tôi đã xem bộ phim này rồi.
136238	Tôi đã nhận được thiệp mời.
332420	Tôi đã nhận được một tấm thiệp mời.
332428	Khi ở Anh, tôi thường xem sách tham khảo.
332429	Em trai tôi thường thức trắng đêm.
332430	Bạn buộc phải bịa ra vài cái cớ.
332438	Xin hãy nạp nó vào tài khoản của tôi.
332441	Họ là những người yêu hòa bình.
332450	Tôi là hội viên câu lạc bộ quần vợt.
332452	Nghe nói thời tiết trên núi thay đổi rất nhanh.
332466	Tôi thấy ý tưởng của trang web này rất hay.
332472	Đợi cô ấy về thì hỏi cô ấy.
332485	Nhiệt kế thường xuống dưới không độ.
332486	Ba tháng là quá ngắn để hoàn thành thí nghiệm.
332499	Bác sĩ khuyên anh ấy bỏ thuốc.
332513	Anh ta tìm mọi cách có thể để thoát thân.
332524	Đàm phán ngoại giao đã giúp chấm dứt xung đột.
332536	Chúng ta hãy làm rõ vấn đề này.
332541	Trong tình hình này, rất tiếc tôi không thể nhận lời mời nhiệt tình của bạn.
332544	Cô giáo giao bài tập về nhà cho chúng tôi.
332548	Bạn đi rồi, chúng tôi đều sẽ nhớ bạn.
332552	Vì tàu bị trễ nên tôi đến muộn.
332554	Kiểu mũ này bây giờ rất thịnh hành.
332561	Tôi không thể tin vào mắt mình.
332563	Bạn thật chu đáo khi không làm phiền chúng tôi.
332570	Nỗ lực của anh ấy không mang lại kết quả.
332582	Xin giúp tôi tìm ví.
332587	Cuốn sách này có tranh minh họa rất đẹp.
332588	Cô ấy cũng thân thiện như em gái mình.
332594	Anh ấy kể cho tôi nghe về cuộc đời mình.
332595	Vụ tai nạn làm chúng tôi chậm mất nửa tiếng.
332596	Bí mật kiểu này rồi sẽ có ngày bị phơi bày.
332612	Thành tín là một đức tính quan trọng.
332613	Bob là người đầu tiên về đích.
332617	Cô ấy không thích cách tôi nói chuyện.
332618	Anh ta xin cô ấy ưu đãi cho mình.
332619	Bạn có thể đưa giúp tôi lọ muối không?
332632	Nghe tin này tôi rất ngạc nhiên.
332633	Cô ấy luôn cãi nhau với các anh em trai.
332640	Mặt trăng là vệ tinh duy nhất của trái đất.
332654	Hãy viết tên bạn bằng chữ in hoa.
332656	Tôi không có thành kiến với nhân viên nước ngoài.
332666	Mọi dấu hiệu cho thấy cô ấy đang khá lên.
332668	Các tòa nhà rung lắc trong trận động đất.
332673	Ai sẽ cấp vốn cho dự án mạo hiểm này?
332676	Chính quyền của ông ta chắc chắn sẽ sụp đổ.
332677	Tên trộm nhanh chóng lẩn vào đám đông.
332683	Chấp nhận chuẩn mực của đối phương là trao quyền cho họ.
332690	Trẻ em nên uống sữa mỗi ngày.
332695	Trừ khi trời tạnh mưa, chúng tôi mới ra ngoài.
332700	Tôi chịu đủ cái kế hoạch này rồi.
332702	Tôi thấy anh ấy đang làm việc trong vườn.
332703	Picasso là một nghệ sĩ nổi tiếng.
332708	Cuộc sống rất khó khăn, nhưng tôi còn mạnh mẽ hơn.
332710	Tin này đã xác nhận nghi ngờ của tôi.
332735	Những món ăn này trông rất ngon.
332752	Tôi đã mua một cây đèn cổ.
332765	Anh ấy trình bày ngắn gọn lý do của mình.
332774	Hình như trong nhà đó đang có tiệc.
332777	Chúng ta phải giữ gìn truyền thống gia đình.
332779	Một nghi lễ thiêng liêng được cử hành trong ngôi đền trang nghiêm.
332785	Trời lạnh đến mức hồ đóng băng.
332789	Tối nay tôi sẽ ngủ lại nhà bạn.
332795	Bạn sẽ thấy khó mà làm cô ấy hài lòng.
332797	Tôi tôn trọng người lớn tuổi.
332799	Hợp đồng của họ hết hạn vào cuối tháng này.
332813	Cô ấy đã không phụ lòng kỳ vọng của chúng tôi.
332828	Cô ấy đã tha thứ cho sự thô lỗ của cậu bé.
332832	Bạn sẽ đi dự tiệc thay tôi chứ?
332842	Một số người thư giãn bằng cách đọc sách.
332844	Có mục tiêu kiên định, bạn sẽ làm tốt.
332850	Hồi nhỏ tôi thường chơi một mình.
332851	Đây có phải xe đi Đại học Oxford không?
332853	Bạn thấy chiếc áo len này thế nào?
332859	Đợi ở đây cho đến khi anh ấy quay lại.
332864	Hôm nay bố rất mất kiên nhẫn.
332868	Nghe điều đó khiến tôi sôi máu.
332869	Nhiều người làm việc ở các thành phố công nghiệp.
332880	Để nắm vững tiếng Pháp chẳng dễ chút nào.
332891	Cô ấy cho khách xem em bé của mình.
332900	Trường của bạn ở thành phố này à?
332905	Cô ấy hiện đang ở nhà chú.
332907	Tôi gánh vác một nhiệm vụ quan trọng.
332909	Thói quen tốt được hình thành từ nhỏ.
332912	Tôi làm hỏng ổ khóa khi mở cửa.
332919	Quỹ Tiền tệ Quốc tế không xem xét cho nước đó vay thêm.
332924	Bạn đi máy bay hay đi tàu?
332929	Nara là một thành phố rất cổ.
332931	Cô ấy cho rằng kế hoạch hay nhưng không khả thi.
332932	Chúng tôi vỗ tay cho người biểu diễn.
332940	Câu chuyện của anh ấy một phần là thật.
332942	Vợ chồng Smith hiện đã ly thân.
332946	Anh ấy được mời làm chủ tịch câu lạc bộ.
332947	Biết đủ thì vui.
332968	Kiểm soát một lớp học đòi hỏi mọi kỹ năng làm thầy của bạn.
332983	Anh ấy luôn lo lắng cho con gái.
332988	Tôi rất khâm phục tài năng của anh ấy.
332994	Sau khi nghỉ hưu, thu nhập của ông ấy giảm một nửa.
332997	Cô ấy quá nuông chiều các con.
332999	Người trẻ nên kính trọng người già.
333000	Anh ấy không định mua máy quay.
333001	Ở thành phố anh ấy luôn bị tiếng ồn hay thứ khác quấy rầy.
333002	Chuyến đi của họ bị hoãn vì tàu.
333007	Đầu tôi đập vào cửa, sưng một cục.
333010	Chúng ta dừng ở trạm xăng tiếp theo nhé.
333013	Trên sân khấu có nhạc sĩ nổi tiếng nào không?
333030	Tàu bị chậm vì tuyết lớn.
333042	Bảo dưỡng chiếc xe này rất tốn kém.
333102	Không có nước, chúng ta không thể sống sót.
333114	Tất cả cây táo đều bị chặt đổ.
333125	Một tương lai tươi sáng đang mở ra trước mắt anh ấy.
333126	Trong phòng này có một chiếc ti vi.
333146	Khu vườn được rào bằng hàng rào gỗ.
333147	Đây sẽ là lần cuối cùng bạn bị lừa.
333152	Những gì viết trong từ điển không phải lúc nào cũng đúng.
333172	Cô ấy rất chu đáo và kiên nhẫn.
333182	Cô ấy đang bận đan len.
333186	Em gái tôi lấy một bác sĩ.
333194	Anh ấy gọi điện cho tôi lúc nửa đêm.
333195	Tính tình anh ta kỳ quặc.
333199	Họ có nền văn hóa riêng của mình.
333200	Ai cũng có lúc đắc ý.
333212	Nước sau khi sôi biến thành hơi.
333214	Nghe tin này tôi rất kinh ngạc.
333217	Dạo này thị lực của tôi đang kém đi.
333226	Muốn ăn bao nhiêu bánh quy thì ăn.
333227	Chó có khứu giác nhạy bén.
333234	Một người đàn ông xấu xí gõ cửa nhà tôi.
333239	Lỡ bạn bị ốm thì uống thuốc này.
333278	Họ leo lên tận đỉnh vách đá.
333296	Tôi dùng từ điển của bạn một lát được không?
333303	Tôi cố để dành bụng ăn tráng miệng.
333311	Khi chúng tôi đi vắng, nhà đã bị trộm.
333312	Âm nhạc là ngôn ngữ chung của nhân loại.
333313	Họ sắp từ Hồng Kông đến.
333331	Sao anh ta dám bóc thư của tôi!
