# tatoeba id	bản dịch tiếng Việt
478079	Giày được bán theo đôi.
478154	Xin cho tôi biết đi sân bay thế nào.
478786	Nếu bạn chưa có chương trình này, bạn có thể tải ngay bây giờ.
478812	Phần lớn khán giả là trẻ nhỏ.
478846	Anh ấy thích toán, còn tôi thì không.
479092	Trong ngôi nhà này có bao nhiêu con mèo?
479560	Phòng này thông gió rất tốt.
479646	Đừng quên trả sách cho thư viện.
481148	Nụ cười trẻ thơ của anh ấy rất quyến rũ.
481162	Vì trời mưa, chúng tôi không thể ra ngoài.
483923	Với chúng ta, yêu quý dòng sông là rất quan trọng.
483954	Nếu cô ấy khiêm tốn hơn chút nữa thì hoàn hảo.
484865	Bốn mươi phút nữa họ tan học.
485715	Võ công của anh ấy đã đạt đến cảnh giới xuất thần nhập hóa.
486292	Một lát sau, chú thỏ đen nhỏ ngồi xuống, nét mặt vô cùng buồn bã.
486405	Súng không giết người. Người mới giết người.
486559	Tôi nằm viện một tuần.
486565	Chúng tôi đã cung cấp thức ăn cho dân làng.
487191	Sao ông chủ nhà sáu mươi tuổi của tôi lại mua một tấm bạt nhún?
487444	Thí nghiệm đã chứng minh lý thuyết của anh ấy.
487484	Tôi muốn tắt đèn đọc sách, được không?
487499	Mục đích cuối cùng của giáo dục là gì?
487505	Ông làm thế thật hoang đường.
488150	Picasso là một họa sĩ nổi tiếng.
490053	Sự kiên nhẫn của anh ấy đã đến giới hạn.
490067	Từ khi tốt nghiệp đại học, anh ấy luôn dốc sức nghiên cứu năng lượng nguyên tử.
490102	Tôi không phân biệt được ếch và cóc.
492126	May thay, ngay ngoài con hẻm nơi Dima ngủ có một cửa hàng Armani.
492845	Anh ấy hỏi tôi bức tranh đó ai vẽ.
492891	Tôi rất nhớ thầy cô tiểu học của mình.
492921	Một ước tính cho thấy sản lượng thép năm nay sẽ đạt một trăm triệu tấn.
492924	Tôi thấy cái bàn này hơi thấp.
493469	Bài này không thầy cô nào giải được.
494754	Betty có giọng nói ngọt ngào.
494868	Cô ấy mặc một chiếc váy đỏ.
497299	Xin lỗi, thuê bao quý khách vừa gọi hiện không liên lạc được.
497597	Cách của bạn khác cách của tôi.
497599	Ý kiến của tôi hoàn toàn khác với ông.
498449	Anh ấy rất có con mắt thẩm định đồ cổ.
498478	Dù xảy ra chuyện gì, bạn cũng phải giữ bình tĩnh.
499606	Tôi rất bình tĩnh, cho đến khi nhìn thấy ống tiêm.
499613	Bạn cũng mời bạn bè của mình rồi à?
499644	Anh ta đã trả thù kẻ giết cha.
501071	Chuông vừa reo, tàu liền chuyển bánh.
501094	Nhìn cảnh tượng thê lương trước mắt, chúng tôi không khỏi rơi lệ.
501120	Tôi và mẹ chồng sống với nhau rất hòa thuận.
501184	Giá thay đổi theo nhu cầu.
501352	Tôi không có tài khoản trên các diễn đàn này.
501364	Bạn chỉ biết trốn tránh vấn đề cuộc sống.
501392	Cảnh sát sẽ bắt bạn đi tìm đạn.
501427	Tôi có thể nói chuyện với cô Brown không?
501566	Nhờ bạn mà tôi mất hết cả khẩu vị.
501582	Tôi chưa bao giờ thấy tủ lạnh màu đỏ.
501589	Mắt tôi là đại dương phản chiếu ước mơ của tôi.
502701	Thuyết sáng tạo là một ngụy khoa học.
502736	Toán học giống như logic của vật lý.
502770	Từ trái nghĩa của "bất tiện" là "tiện".
502778	Bạn đã ăn bánh tart chuối chưa?
502781	Này nhìn kìa, một con khỉ ba đầu!
502783	Tôi mê mì tagliatelle.
502796	Chú chim cánh cụt con này dễ thương quá!
502798	Nguồn cảm hứng lớn nhất của ông là gì?
502845	Mọi ý kiến đều là tổng hợp của sự thật và sai lầm.
502853	Một ngày nào đó tôi sẽ mua một chiếc máy làm kẹo bông.
502854	Có một chiếc máy tính xách tay rất tiện.
502975	Kẻ keo kiệt tích của không phải vì cẩn trọng mà vì tham lam.
503036	Chính trị gia thúc đẩy cải cách bằng cách vạch trần tham nhũng của quan chức.
503048	Trong khoảnh khắc tôi còn tưởng anh ta điên.
503066	Chúng tôi có thể ngắm hoàng hôn từ cửa sổ.
503183	Tôi muốn mát-xa. Tôi cần thư giãn.
503184	Bên trái có một lối đi bí mật.
503189	Cô ấy đang gây sự vô lý.
503190	Anh ta biến mất không để lại dấu vết.
503203	Bạn đang nói tính mạng tôi gặp nguy hiểm à?
503208	Không có anh ấy cuộc sống của tôi trống rỗng.
503214	Hôm qua chúng tôi diễn tập phòng cháy.
503217	Thỏ có tai dài và đuôi ngắn.
503220	Anh ấy mong xóa đi những ký ức không tốt.
503227	Tôi không còn sức để tiếp tục thử.
503254	Tôi sẽ mua cho mình một chiếc máy ảnh mới, lần này là máy số.
503262	Câu trả lời đưa chúng ta vào một vòng luẩn quẩn.
503295	Anh ấy vừa đăng một loạt bài viết thú vị.
503300	Đây là ngõ cụt.
503307	Chia sẻ đam mê là hoàn toàn đắm chìm trong đó.
504424	Đó là một trải nghiệm quý giá.
504882	Ông ấy hẳn đã ngoài sáu mươi.
504940	Tôi hoàn toàn không quan tâm đến CV của mình.
505676	Chúng ta nhất định phải giữ tay sạch sẽ.
508988	Canada nằm ở phía bắc nước Mỹ.
510673	Núi lửa hoạt động phun trào định kỳ.
510693	Cơn đói thúc đẩy anh ta đi trộm.
510707	Xin hỏi bạn có thể nói chậm hơn không?
510710	Tối qua họ mở tiệc thết đãi chúng tôi.
510741	Jim sợ lao động chân tay.
510746	Nhìn chung người Nhật rất bảo thủ.
510749	Tiếng Anh không đơn giản nhưng rất thú vị.
510832	Tôi thích ăn thạch nho nhất.
512065	Cô ấy là xong quần áo vài phút trước.
512076	Tôi bất lực với việc này.
512141	Tôi rất không thoải mái khi đối mặt người lạ.
512208	Tôi sẽ đàn cho bạn một bản sonata.
512812	Cô dâu hình như rất đẹp.
512879	Tôi không thích tiểu thuyết không có anh hùng.
515527	Chúng tôi đều quỳ xuống cầu nguyện.
515528	Bố mua cho tôi một đôi găng tay.
515534	Cô ấy sơn tường toàn màu trắng.
520052	Các cô gái Nga mê người Iceland.
520101	Có người bảo tôi, mỗi điếu thuốc hút vào làm tuổi thọ ngắn đi bảy phút.
520650	Bảo tàng thiếu kinh phí, đành phải đóng cửa.
521148	Tôi tự nguyện gia nhập Đảng Cộng sản Trung Quốc.
521957	Nguyên nhân cái chết của anh ta vẫn là một bí ẩn.
522035	Thợ kim hoàn gắn một viên ngọc trai lớn lên chiếc trâm cài.
522175	Chúng tôi quen ăn đồ ăn đơn giản.
522181	Nước và băng tuy hình thái khác nhau nhưng thực ra là cùng một chất.
522221	Tôi hoàn toàn không hiểu anh ta nói gì.
523653	Anh ấy cảm thấy mãn nguyện với bản thân.
524851	Các cậu thật chẳng hiểu chuyện gì cả.
526567	Tôi cảm thấy tim mình đập dữ dội.
527702	Trụ sở mới của chúng tôi đặt tại Tokyo.
528018	Nghỉ ngơi đầy đủ là vô cùng quan trọng.
528033	Ý tưởng của anh ấy luôn khả thi.
528043	Những thông tin này rất quan trọng với chúng tôi.
528056	Theo đài nói, ngày mai có tuyết.
528057	Anh ấy thích địa lý và lịch sử.
528062	Chỉ có bạn trả lời câu hỏi này.
528427	Trong chai không còn nước.
528589	Sắc mặt anh ta trở nên tái nhợt.
529645	Chiếc váy bán trong suốt của bạn khiến tôi vô cùng phấn khích.
530712	Bạn nên suy nghĩ trước khi nói.
530713	Phí thủ tục là bao nhiêu?
532179	Bố tôi Chủ nhật nào cũng đi chơi golf.
