# tatoeba id	bản dịch tiếng Việt
786113	Đây là nơi diễn ra trận Hastings.
786124	Cuộc sống sau khi nghỉ hưu của ông ấy không vui.
786143	Anh ấy ướt từ eo đến đầu gối.
786403	Xin cho tôi xem album tem của bạn.
786421	Cô ấy có biết số điện thoại của ông không?
786622	Hãy đọc sách càng nhiều càng tốt.
787172	Ông phải trả tiền trước.
787271	Anh ta đang theo dõi.
787295	Nước là chất lỏng. Đóng băng thì thành chất rắn.
787301	Ông sẽ dễ dàng nhận ra sự khác biệt.
787311	So với tiểu thuyết, anh ấy thích thơ hơn.
787368	Ở đây có ai từng đến Hawaii chưa?
787380	Áo sơ mi của anh ấy bị dính nước sốt.
787584	Khí áp kế đang hạ, trời sắp mưa.
787593	Tuần sau con trai tôi sẽ đi Pháp.
787604	Bố tôi là bác sĩ.
787613	Tôi thích chó, em gái tôi thích mèo.
787633	Tôi không muốn bị dính líu vào chuyện này.
787947	Bạn nên thừa nhận thất bại của mình.
788566	Binh lính đã quen với nguy hiểm.
788775	Đồ uống này được mời miễn phí.
788830	Từ phòng tôi nhìn ra là đường phố.
788842	Phòng tôi ở trên lầu, bên trái.
789133	Tiểu Lý thường mất ngủ vì hàng xóm cứ cãi nhau ầm ĩ.
789335	Anh ấy ngã và bị thương ở tay.
789357	Sóng thần quét qua ruộng lúa, nhấn chìm thị trấn.
789557	Chúng ta xử lý vấn đề thứ hai nhé.
790074	Chúng tôi đi nhanh hơn thường ngày.
790081	Ả Rập rất giàu dầu mỏ.
790219	Anh ta báo thù cho cái chết của cha.
790383	Trên tường treo một bức chân dung của Bob.
790632	Cô ấy nói tiếng Anh giỏi hơn bất kỳ ai trong lớp.
790647	Tôi nhận thấy nói tiếng Anh rất đơn giản.
791348	Cô ấy đón tôi bằng một nụ cười.
791404	Chúng ta không thể đánh giá quá cao giá trị của sức khỏe.
791430	Xin tìm cách giải quyết vấn đề.
791534	Bà ấy để lại cho con trai rất nhiều tiền.
791626	Thật mất mặt!
791641	Đừng ném bất cứ thứ gì xuống đất.
791686	Những viên ngọc trai này là thật, không phải nhân tạo.
792385	Tôi không có chút ý tưởng nào.
792464	Lời bạn nói có vấn đề về logic.
792777	Anh ta chỉ lo cho lợi ích của mình.
792783	Hậu quả trận động đất ở Sendai thật khủng khiếp.
792821	Tôi muốn gọi suất ăn trong ngày.
792827	Đúng vậy, cái này rất đẹp. Bao nhiêu tiền?
792850	Cứ sáu tiếng tôi phải uống thuốc một lần.
792886	Tôi ngồi giữa Tom và John.
792894	Viết xong thư, anh ấy gửi ngay.
793197	Xin lỗi, tôi mở nhầm thư của bạn.
793204	Cô ấy sưởi ấm bên đống lửa.
793214	Anh ấy dễ dàng giải quyết vấn đề này.
793242	Bạn xứng đáng nhận tiền thưởng này.
793344	Phong cách viết của Hemingway rất tệ.
793345	Ngày nay ai cũng miễn dịch với bệnh đậu mùa.
793494	Ai có thể làm tan chảy trái tim sắt đá của bạn?
793516	Bạn không cần mang theo bữa trưa.
793559	Lòng nhiệt thành vì nhà Chúa thiêu đốt tôi.
793593	Hôm qua chúng tôi chơi cực kỳ vui!
793855	Anh ấy bị nụ cười của cô ấy hút hồn.
793864	Đây chính là hiện trường vụ tai nạn.
793885	Ông ấy đã quyết định chính sách mới.
793903	Có lẽ anh ấy đang chạy bộ quanh công viên.
793934	Nhà vua thống trị đất nước này.
793944	Lời mời làm việc này vẫn còn hiệu lực.
793951	Công ty phá sản vì thiếu vốn.
793953	Chiếc máy bay chở khách đã hạ cánh ở Tokyo.
793969	Không phải lúc nào cũng có thể bất chấp thủ đoạn vì mục đích chính đáng.
793971	Cảnh sát tóm lấy cánh tay tên trộm.
793974	Bạn giải thích luật chơi cho tôi được không?
793985	Sóng thần đến rồi, hãy hết sức chú ý.
794001	Tôi cam lòng làm bất cứ việc gì cho bạn.
794017	Không, thế không đúng. Phải đặt α bằng β.
794020	Con trai họ tên là John.
794043	Cuộc điều tra liên quan đang được tiến hành.
794063	Thiên nhiên rất hào phóng.
794084	Cô ấy tìm cách giữ thể diện.
794133	Cô ấy tò mò đến mức mở chiếc hộp ra.
794149	Không ai có thể làm thời gian dừng lại.
794185	Xin gọi giúp tôi bảo vệ khách sạn.
794251	Ưu điểm của từ điển điện tử này là dễ mang theo.
795190	Nạn nhân thảm họa động đất rất nhiều.
795227	Chúng ta nên hủy chuyến dã ngoại này.
795251	Tiếng Anh của cô ấy đang tiến bộ.
795257	Anh ấy đang chuẩn bị cho một chuyến đi.
795261	Tiếng Anh của anh ấy tiến bộ rất nhiều.
795263	Tôi thà làm việc còn hơn ngồi không.
795265	Chương trình này khá nhiều lỗi.
795266	Ken tự dọn giường mỗi sáng.
795267	Tôi không quen với cách đối đãi như thế.
795358	Ông tôi phải dùng gậy mới đi được.
795616	Trong bộ phận của tôi có bảy nam bốn nữ.
795737	Khoai tây nóng quá, làm bỏng cả miệng tôi.
795773	Em gái tôi có một cây đàn piano đẹp.
