呵	6	1
哎哟	6	1
爱不释手	6	0
爱戴	6	1
爱惜	5	1
暧昧	6	1
安居乐业	6	0
安置	6	0
案例	6	0
凹凸	6	0
奥秘	6	1
拔苗助长	6	0
把关	6	0
霸道	6	1
巴结	6	0
百分点	6	0
败坏	6	0
拜年	6	1
颁布	6	0
斑纹	6	0
办理	5	1
伴侣	6	1
伴随	6	1
包庇	6	0
包袱	6	0
包子	5	0
薄弱	6	0
饱和	6	0
饱经沧桑	6	0
保姆	6	0
保重	6	1
报答	6	0
报到	6	0
报复	6	1
抱负	6	1
悲哀	6	1
悲惨	6	1
备份	6	0
备忘录	6	0
背景	5	1
奔波	6	1
奔驰	6	0
本科	5	0
本领	5	0
本钱	6	1
本事	6	1
本着	6	0
笨拙	6	1
甭	6	0
迸发	6	1
逼迫	6	1
鼻涕	6	1
比方	6	0
比例	5	0
比喻	6	1
比重	6	0
闭塞	6	0
弊病	6	0
弊端	6	0
碧玉	6	0
边疆	6	0
鞭策	6	1
鞭炮	5	0
贬低	6	0
贬义	6	0
变故	6	0
变迁	6	0
变质	6	1
便于	6	1
遍布	6	0
辨认	6	0
辩护	6	1
辩解	6	0
辩证	6	0
标本	6	0
标记	6	0
飙升	6	0
表决	6	0
表态	6	0
表扬	4	1
表彰	6	0
憋	6	0
别扭	6	0
别致	6	0
丙	5	0
并存	6	0
波浪	6	1
波涛汹涌	6	0
剥削	6	0
伯母	6	0
博大精深	6	0
博览会	6	1
搏斗	6	1
补偿	6	0
补救	6	1
补贴	6	1
捕捉	6	1
不得已	6	1
不妨	6	1
不敢当	6	0
不客气	1	1
不愧	6	0
不料	6	0
不免	5	1
不相上下	6	0
不像话	6	1
不言而喻	6	1
不由得	6	1
布告	6	1
步骤	5	0
部署	6	0
部位	6	1
才干	6	1
财务	6	0
裁员	6	1
采购	6	0
采集	6	1
采纳	6	1
参谋	6	0
参照	6	0
残留	6	1
仓促	6	1
操场	5	1
操劳	6	0
操练	6	0
操纵	6	1
草案	6	0
草率	6	1
侧面	6	0
策划	6	1
层出不穷	6	0
层次	6	0
查获	6	0
诧异	6	0
差距	6	0
柴油	6	1
搀	6	0
馋	6	1
缠绕	6	0
阐述	6	1
昌盛	6	0
猖狂	6	0
偿还	6	1
常年	6	0
常务	6	0
畅通	6	0
倡导	6	0
倡议	6	0
朝代	5	0
朝气蓬勃	6	0
撤退	6	0
撤销	6	1
沉淀	6	0
沉思	6	0
沉着	6	1
陈旧	6	0
陈列	6	0
称号	6	0
称心如意	6	0
成分	5	1
成交	6	1
成天	6	1
成效	6	0
成心	6	0
承办	6	0
承包	6	0
